"id_study","country","year","fu","follow_up_of","with_refreshers","according_to_natmed","according_to_bmi_whtr_htn","notes"
"BGD_2002_STEPSrural","Bangladesh",2002,"nonFU",,,,"nonFU",
"BGD_2002_STEPSurban","Bangladesh",2002,"nonFU",,,,"nonFU",
"BGD_2003_NSP","Bangladesh",2003,,,,,,
"BGD_2004_DHS","Bangladesh",2004,,,,,,
"BGD_2006_UHS","Bangladesh",2006,,,,,,
"BGD_2007_DHS","Bangladesh",2007,,,,,,
"BGD_2010_STEPS","Bangladesh",2010,"nonFU",,,,"nonFU",
"BGD_2011_DHS","Bangladesh",2011,,,,,,
"BGD_2012_CDRF","Bangladesh",2012,"nonFU",,,,"nonFU",
"BGD_2013_STEPS","Bangladesh",2013,"nonFU",,,,"nonFU",
"BGD_2014_DHS","Bangladesh",2014,,,,,,
"BGD_2015_BRAC","Bangladesh",2015,,,,,,
"BGD_2016_DMagic","Bangladesh",2016,"nonFU",,,,"nonFU",
"BGD_2018_DHS","Bangladesh",2018,,,,,,
"BGD_2018_STEPS","Bangladesh",2018,"nonFU",,,,"nonFU",
"BGD_2019_BAHWS","Bangladesh",2019,,,,,,
"BGD_2019_NNS","Bangladesh",2019,"nonFU",,,,"nonFU",
"BGD_2022_DHS","Bangladesh",2022,,,,,,
"BGD_2022_STEPS","Bangladesh",2022,,"No",,,,
"BGR_1986_SGA","Bulgaria",1986,,,,,,
"BGR_1987_SGA","Bulgaria",1987,,,,,,
"BGR_1988_SGA","Bulgaria",1988,,,,,,
"BGR_1989_SGA","Bulgaria",1989,,,,,,
"BGR_1990_SGA","Bulgaria",1990,,,,,,
"BGR_1991_SGA","Bulgaria",1991,,,,,,
"BGR_1992_SGA","Bulgaria",1992,,,,,,
"BGR_1993_ACDGDC","Bulgaria",1993,,,,,,
"BGR_1993_SGA","Bulgaria",1993,,,,,,
"BGR_1994_ACDGDC","Bulgaria",1994,,,,,,
"BGR_1994_SGA","Bulgaria",1994,,,,,,
"BGR_1995_ACDGDC","Bulgaria",1995,,,,,,
"BGR_1995_SGA","Bulgaria",1995,,,,,,
"BGR_1996_ACDGDC","Bulgaria",1996,,,,,,
"BGR_1996_SGA","Bulgaria",1996,,,,,,
"BGR_1997_ACDGDC","Bulgaria",1997,,,,,,
"BGR_1997_SGA","Bulgaria",1997,,,,,,
"BGR_1998_ACDGDC","Bulgaria",1998,,,,,,
"BGR_1998_ACDGDC717","Bulgaria",1998,,,,,,
"BGR_1998_SGA","Bulgaria",1998,,,,,,
"BGR_1999_ACDGDC","Bulgaria",1999,,,,,,
"BGR_1999_SGA","Bulgaria",1999,,,,,,
"BGR_2004_NNS","Bulgaria",2004,,,,,,
"BGR_2004_NSFIN","Bulgaria",2004,,,,,,
"BGR_2005_ACGDCS","Bulgaria",2005,,,,,,
"BGR_2007_WCPCCA","Bulgaria",2007,,,,,,
"BGR_2008_COSI1","Bulgaria",2008,,,,,,
"BGR_2009_SCV","Bulgaria",2009,,,,,,
"BGR_2013_COSI3","Bulgaria",2013,,,,,,
"BGR_2014_BNMDI","Bulgaria",2014,"nonFU",,,,"nonFU",
"BGR_2016_COSI4","Bulgaria",2016,,,,,,
"BGR_2016_F4D","Bulgaria",2016,,,,,,
"BGR_2017_Erasmus","Bulgaria",2017,,,,,,
"BGR_2018_Erasmus","Bulgaria",2018,,,,,,
"BGR_2019_COSI5","Bulgaria",2019,,,,,,
"BGR_2020_NSRF","Bulgaria",2020,"nonFU",,,,"nonFU",
"BGR_2023_COSI6","Bulgaria",2023,,,,,,
"BHR_1992_15048052","Bahrain",1992,,,,,,
"BHR_1995_15048020","Bahrain",1995,,,,,,
"BHR_1999_NNS","Bahrain",1999,,,,,,
"BHR_2003_Gharib","Bahrain",2003,,,,,,
"BHR_2007_STEPS","Bahrain",2007,,,,,,
"BHR_2016_GSHS","Bahrain",2016,,,,,,
"BHS_2012_STEPS","Bahamas",2012,"nonFU",,,,"nonFU",
"BHS_2013_GSHS","Bahamas",2013,,,,,,
"BHS_2019_STEPS","Bahamas",2019,"nonFU",,,,"nonFU",
"BIH_2002_NCDRFS","Bosnia and Herzegovina",2002,"nonFU",,,,"nonFU",
"BIH_2012_NCDRFS_rural","Bosnia and Herzegovina",2012,,,,,,
"BIH_2012_NCDRFS_urban","Bosnia and Herzegovina",2012,,,,,,
"BIH_2019_SarajevoSchools","Bosnia and Herzegovina",2019,,,,,,
"BLR_2017_STEPS","Belarus",2017,"nonFU",,,,"nonFU",
"BLR_2020_STEPS","Belarus",2020,"nonFU",,,,"nonFU",
"BLZ_2006_CAMDI","Belize",2006,"nonFU",,,,"nonFU",
"BLZ_2011_GSHS","Belize",2011,,,,,,
"BLZ_2017_SRFCKD","Belize",2017,,,,,,
"BOL_1994_DHS","Bolivia",1994,,,,,,
"BOL_1998_DHS","Bolivia",1998,,,,,,
"BOL_2003_DHS","Bolivia",2003,,,,,,
"BOL_2006_citBayaBotti","Bolivia",2006,,,,,,
"BOL_2008_DHS","Bolivia",2008,,,,,,
"BOL_2016_EDSA","Bolivia",2016,,,,,,
"BOL_2019_STEPS","Bolivia",2019,"nonFU",,,,"nonFU",
"BRA_1989_PNSN","Brazil",1989,,,,,,
"BRA_1991_14076043","Brazil",1991,,,,,,
"BRA_1992_14076044","Brazil",1992,,,,,,
"BRA_1995_14076010","Brazil",1995,,,,,,
"BRA_1995_14076016","Brazil",1995,,,,,,
"BRA_1995_PBC82","Brazil",1995,,,,,,
"BRA_1996_DHS","Brazil",1996,,,,,,
"BRA_1996_PA","Brazil",1996,,,,,,
"BRA_1996_PPV","Brazil",1996,,,,,,
"BRA_1997_Bambui","Brazil",1997,"nonFU",,,,"nonFU",
"BRA_1997_PBC82","Brazil",1997,,,,,,
"BRA_1998_BHHS","Brazil",1998,,,,,,
"BRA_2000_PBC82","Brazil",2000,,,,,,
"BRA_2000_PNS","Brazil",2000,,,,,,
"BRA_2000_PROESP","Brazil",2000,,,,,,
"BRA_2000_SABE","Brazil",2000,"nonFU",,,,"nonFU",
"BRA_2000_riogrande","Brazil",2000,,,,,,
"BRA_2001_14076023","Brazil",2001,,,,,,
"BRA_2001_PBC82","Brazil",2001,,,,,,
"BRA_2001_PROESP","Brazil",2001,,,,,,
"BRA_2002_14076034","Brazil",2002,,,,,,
"BRA_2002_EPOCA","Brazil",2002,,,,,,
"BRA_2003_14076021","Brazil",2003,,,,,,
"BRA_2003_POF","Brazil",2003,,,,,,
"BRA_2003_PROESP","Brazil",2003,,,,,,
"BRA_2003_WHSB","Brazil",2003,,,,,,
"BRA_2004_CAJUVDG","Brazil",2004,"nonFU",,,,"nonFU",
"BRA_2004_PROESP","Brazil",2004,,,,,,
"BRA_2004_RibeiraPreto","Brazil",2004,"nonFU",,,,"nonFU",
"BRA_2004_SPAH","Brazil",2004,,,,,,
"BRA_2005_Criancas","Brazil",2005,,,,,,
"BRA_2005_HOB","Brazil",2005,"nonFU",,,,"nonFU",
"BRA_2005_PBC82","Brazil",2005,,,,,,
"BRA_2005_PBC93","Brazil",2005,,,,,,
"BRA_2005_PROESP","Brazil",2005,,,,,,
"BRA_2005_RibeiraPreto","Brazil",2005,,,,,,
"BRA_2005_SOFT","Brazil",2005,"nonFU",,,,"nonFU",
"BRA_2006_14076045","Brazil",2006,,,,,,
"BRA_2006_ATITUDE","Brazil",2006,,,,,,
"BRA_2006_OPS","Brazil",2006,,,,,,
"BRA_2006_PNDS","Brazil",2006,,,,,,
"BRA_2006_PROESP","Brazil",2006,,,,,,
"BRA_2006_SaoLuis","Brazil",2006,,,,,,
"BRA_2007_EPOCA","Brazil",2007,,,,,,
"BRA_2007_Medianeira","Brazil",2007,,,,,,
"BRA_2007_PROESP","Brazil",2007,,,,,,
"BRA_2007_SOFT_teen","Brazil",2007,,,,,,
"BRA_2007_cvriskadolescentsbrazil","Brazil",2007,,,,,,
"BRA_2008_Bambui","Brazil",2008,,,,,,
"BRA_2008_CAJUVDG","Brazil",2008,"nonFU",,,,"nonFU",
"BRA_2008_PBC93","Brazil",2008,,,,,,
"BRA_2008_PROESP","Brazil",2008,,,,,,
"BRA_2008_SCHSCS","Brazil",2008,,,,,,
"BRA_2008_citChristofaro","Brazil",2008,,,,,,
"BRA_2008_daycare","Brazil",2008,,,,,,
"BRA_2009_MetS","Brazil",2009,,,,,,
"BRA_2009_POF","Brazil",2009,,,,,,
"BRA_2009_PROESP","Brazil",2009,,,,,,
"BRA_2009_PeNSE","Brazil",2009,,,,,,
"BRA_2010_ELOS-Pre","Brazil",2010,,,,,,
"BRA_2010_EPIFLORIPA","Brazil",2010,"nonFU",,,,"nonFU",
"BRA_2010_EPIFLORIPA-ADULT","Brazil",2010,"nonFU",,,,"nonFU",
"BRA_2010_PROESP","Brazil",2010,,,,,,
"BRA_2010_SP","Brazil",2010,"nonFU",,,,"nonFU",
"BRA_2011_ATITUDE","Brazil",2011,,,,,,
"BRA_2011_PBC04","Brazil",2011,,,,,,
"BRA_2011_PROESP","Brazil",2011,,,,,,
"BRA_2011_pregadol","Brazil",2011,,,,,,
"BRA_2012_Colombo","Brazil",2012,,,,,,
"BRA_2012_ELOS-Pre","Brazil",2012,,,,,,
"BRA_2012_EPIFLORIPA-ADULT","Brazil",2012,"FU","No","No",,"FU",
"BRA_2012_ISCOLE","Brazil",2012,,,,,,
"BRA_2012_PBC93","Brazil",2012,,,,,,
"BRA_2012_PROESP","Brazil",2012,,,,,,
"BRA_2012_SCHSCS","Brazil",2012,,,,,,
"BRA_2013_BHS","Brazil",2013,"nonFU",,"nonFU","nonFU","nonFU",
"BRA_2013_EPOCA","Brazil",2013,,,,,,
"BRA_2013_PBC-30","Brazil",2013,,,,,,
"BRA_2013_PNS","Brazil",2013,"nonFU",,,,"nonFU",
"BRA_2013_PROESP","Brazil",2013,,,,,,
"BRA_2013_PrevLeptin","Brazil",2013,"nonFU",,,,"nonFU",
"BRA_2013_maceio","Brazil",2013,,,,,,
"BRA_2013_riogrande","Brazil",2013,"nonFU",,,,"nonFU",
"BRA_2014_BGPE","Brazil",2014,,,,,,
"BRA_2014_ELOS-Pre","Brazil",2014,,,,,,
"BRA_2014_EPIFLORIPA","Brazil",2014,"FU","No","No",,"FU",
"BRA_2014_PROESP","Brazil",2014,,,,,,
"BRA_2014_erica","Brazil",2014,,,,,,
"BRA_2015_Alagoas","Brazil",2015,"nonFU",,,,"nonFU",
"BRA_2015_ELANS","Brazil",2015,"nonFU",,,,"nonFU",
"BRA_2015_EPIFLORIPAADULT","Brazil",2015,"FU","BRA_2012_EPIFLORIPA-ADULT","No","nonFU","FU",
"BRA_2015_OPS","Brazil",2015,"nonFU",,,,"nonFU",
"BRA_2015_PBC04","Brazil",2015,,,,,,
"BRA_2015_PROESP","Brazil",2015,,,,,,
"BRA_2015_PeNSE","Brazil",2015,,,,,,
"BRA_2015_SCHSCS","Brazil",2015,,,,,,
"BRA_2016_ATITUDE","Brazil",2016,,,,,,
"BRA_2016_ELSI","Brazil",2016,"nonFU",,,,"nonFU",
"BRA_2016_PBC93","Brazil",2016,"nonFU",,,,"nonFU",
"BRA_2016_PROESP","Brazil",2016,,,,,,
"BRA_2017_EUGERON","Brazil",2017,"nonFU",,,,"nonFU",
"BRA_2017_HRE","Brazil",2017,"nonFU",,,,"nonFU",
"BRA_2017_PROESP","Brazil",2017,,,,,,
"BRA_2017_SACODE","Brazil",2017,,,,,,
"BRA_2017_SCHSCS","Brazil",2017,,,,,,
"BRA_2017_SPP","Brazil",2017,"nonFU",,,,"nonFU",
"BRA_2018_EPIFLORIPA","Brazil",2018,"FU","No","No",,"FU",
"BRA_2018_HLLC","Brazil",2018,,,,,,
"BRA_2018_PROESP","Brazil",2018,,,,,,
"BRA_2019_EPOCA","Brazil",2019,,,,,,
"BRA_2019_PBC04","Brazil",2019,,,,,,
"BRA_2019_PNS","Brazil",2019,,,,,,
"BRA_2019_PROESP","Brazil",2019,,,,,,
"BRA_2019_SAMPA","Brazil",2019,,,,,,
"BRA_2019_santoanastacio","Brazil",2019,"nonFU",,,,"nonFU",
"BRA_2020_PROESP","Brazil",2020,,,,,,
"BRA_2021_ATITUDE","Brazil",2021,,,,,,
"BRA_2021_OPS","Brazil",2021,,,,,,
"BRA_2021_PROESP","Brazil",2021,,,,,,
"BRA_2022_PBC04","Brazil",2022,,,,,,
"BRA_2022_PROESP","Brazil",2022,,,,,,
"BRA_2023_PROESP","Brazil",2023,,,,,,
"BRB_1990_BES","Barbados",1990,,,,,,
"BRB_1993_7052001","Barbados",1993,,,,,,
"BRB_2000_BISED II","Barbados",2000,,,,,,
"BRB_2000_SABE","Barbados",2000,"nonFU",,,,"nonFU",
"BRB_2011_GSHS","Barbados",2011,,,,,,
"BRB_2012_HotN","Barbados",2012,"nonFU",,"nonFU","nonFU","nonFU",
"BRN_2011_NHANSS","Brunei Darussalam",2011,"nonFU",,"nonFU","nonFU","nonFU",
"BRN_2014_GSHS","Brunei Darussalam",2014,,,,,,
"BRN_2016_NNCDS","Brunei Darussalam",2016,"nonFU",,,,"nonFU",
"BRN_2019_GSHS","Brunei Darussalam",2019,,,,,,
"BRN_2023_NNCDS","Brunei Darussalam",2023,,,,,,
"BTN_2007_STEPS","Bhutan",2007,"nonFU",,,,"nonFU",
"BTN_2014_STEPS","Bhutan",2014,"nonFU",,,,"nonFU",
"BTN_2019_STEPS","Bhutan",2019,"nonFU",,,,"nonFU",
"BWA_2007_FHS","Botswana",2007,,,,,,
"BWA_2007_STEPS","Botswana",2007,"nonFU",,,,"nonFU",
"BWA_2014_STEPS","Botswana",2014,"nonFU",,,,"nonFU",
"BWA_2017_BDS","Botswana",2017,,,,,,
"BWA_2024_STEPS","Botswana",2024,,"No",,,,
"CAF_1995_DHS","Central African Republic",1995,,,,,,
